TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-130141-2025","2025-12-18 17:54:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","4940828","171.38","171.38","3 B/R","2","","","","0","0","","ELLINGTON SANDS II"
"102-130142-2025","2025-12-18 17:56:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1734999","35.82","35.82","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Skyblade"
"102-130143-2025","2025-12-18 17:57:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","719999","34.6","34.6","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130144-2025","2025-12-18 18:01:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1189999","67.26","67.26","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130145-2025","2025-12-18 18:02:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","3448828","109.16","109.16","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130146-2025","2025-12-18 18:06:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1169999","63.67","63.67","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130147-2025","2025-12-18 18:06:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","723999","47.52","47.52","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130148-2025","2025-12-18 18:06:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Shop","2529318","106.81","106.81","NA","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130149-2025","2025-12-18 18:11:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2379828","74.56","74.56","1 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130150-2025","2025-12-18 18:13:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1174999","65.56","65.56","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130151-2025","2025-12-18 18:14:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","720999","34.73","34.73","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130152-2025","2025-12-18 18:20:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1347000","93.39","93.39","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillviews"
"102-130153-2025","2025-12-18 18:20:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","3288828","108.84","108.84","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130154-2025","2025-12-18 18:21:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","687999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130155-2025","2025-12-18 18:24:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","855999","35.62","35.62","Studio","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Flare 02"
"102-130156-2025","2025-12-18 18:27:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","714999","34.6","34.6","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130157-2025","2025-12-18 18:32:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","4644828","178.51","178.51","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130158-2025","2025-12-18 18:33:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1179999","65.67","65.67","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130159-2025","2025-12-18 18:34:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","720999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-130160-2025","2025-12-18 18:37:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","FALCON CITY OF WONDERS","Unit","Flat","1519828","98.69","98.69","2 B/R","1","","","IMG World Adventures","0","0","","BELGRAVIA GARDENS"
"102-130161-2025","2025-12-18 18:39:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1184999","65.79","65.79","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130162-2025","2025-12-18 18:45:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","1539999","66.3","66.3","1 B/R","1","Healthcare City Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Pinnacle"
"102-130163-2025","2025-12-18 18:47:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JADDAF WATERFRONT","Unit","Flat","1250000","76.73","76.73","1 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","Binghatti Moonlight"
"102-130164-2025","2025-12-18 18:54:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","3581828","121.05","121.05","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130165-2025","2025-12-18 18:57:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1289130","34.19","34.19","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-130166-2025","2025-12-18 19:00:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2340828","75.44","75.44","1 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130167-2025","2025-12-18 19:01:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","740900","41.62","41.62","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Marquis One"
"102-130168-2025","2025-12-18 19:01:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","1534999","66.3","66.3","1 B/R","1","Healthcare City Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Pinnacle"
"102-130169-2025","2025-12-18 19:07:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","4028828","136.11","136.11","2 B/R","1","","","","0","0","","ELLINGTON SANDS II"
"102-130170-2025","2025-12-18 19:08:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1969000","147.89","147.89","2 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillviews"
"102-130171-2025","2025-12-18 19:21:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Shop","2888828","105.64","105.64","NA","2","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","UH WEST BY ELLINGTON"
"102-130172-2025","2025-12-18 19:24:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1982000","138.23","138.23","2 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillviews"
"102-130173-2025","2025-12-18 19:36:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","875000","40.88","40.88","Studio","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","SOL LEVANTE"
"102-130174-2025","2025-12-18 19:37:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH HEIGHTS","Unit","Flat","2995828","116.19","116.19","2 B/R","1","","","","0","0","","ELTIERA HEIGHTS"
"102-130175-2025","2025-12-19 17:17:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","645777","38.93","38.93","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130176-2025","2025-12-19 17:18:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","684777","38.98","38.98","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130179-2025","2025-12-19 17:19:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1054777","70.06","70.06","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130180-2025","2025-12-19 17:21:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","709777","38.16","38.16","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130184-2025","2025-12-19 17:16:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","709777","38.16","38.16","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130185-2025","2025-12-19 17:20:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","607000","39.06","39.06","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130189-2025","2025-12-19 17:16:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1109777","70.06","70.06","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130191-2025","2025-12-19 17:19:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","699777","38.16","38.16","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130194-2025","2025-12-19 17:15:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1669777","123.38","123.38","2 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130195-2025","2025-12-19 17:16:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1299777","74.71","74.71","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130196-2025","2025-12-19 17:17:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1269777","70.03","70.03","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130197-2025","2025-12-19 17:15:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1204777","74.72","74.72","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130198-2025","2025-12-19 17:21:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1274777","77.12","77.12","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130199-2025","2025-12-19 17:18:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","899777","39.52","39.52","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130200-2025","2025-12-19 17:18:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","750000","38.16","38.16","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130203-2025","2025-12-19 17:17:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1194777","80.56","80.56","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130204-2025","2025-12-19 17:18:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1184777","80.56","80.56","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130206-2025","2025-12-19 17:19:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","759777","38.16","38.16","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130207-2025","2025-12-19 17:16:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1084777","70.06","70.06","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130208-2025","2025-12-19 17:20:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1184777","77.12","77.12","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130209-2025","2025-12-18 20:50:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","774999","35.78","35.78","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130210-2025","2025-12-19 17:17:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","1349777","73.38","73.38","1 B/R","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130212-2025","2025-12-19 17:20:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LIWAN","Unit","Flat","824777","38.42","38.42","Studio","1","","","IMG World Adventures","0","0","","EMPIRE LAKEVIEWS"
"102-130213-2025","2025-12-18 21:02:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1629999","108.14","108.14","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130214-2025","2025-12-18 21:09:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1199999","68.56","68.56","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
"102-130215-2025","2025-12-18 21:19:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1189999","68.56","68.56","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Amberhall"
